,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
61,600202.SH,20230920,7.0,7.08,6.75,6.75,7.5,-0.75,-10.0,237907.25,163505.453
62,600202.SH,20230919,7.05,7.5,6.95,7.5,6.82,0.68,9.9707,1310154.71,969017.78
63,600202.SH,20230918,6.14,6.82,6.12,6.82,6.2,0.62,10.0,478323.85,313337.716
64,600202.SH,20230915,6.1,6.5,6.05,6.2,6.18,0.02,0.3236,398376.28,249441.655
65,600202.SH,20230914,6.0,6.23,5.91,6.18,6.12,0.06,0.9804,359056.0,217701.108
66,600202.SH,20230913,6.08,6.12,5.9,6.12,6.14,-0.02,-0.3257,376468.89,225527.715
67,600202.SH,20230912,6.07,6.28,5.99,6.14,6.05,0.09,1.4876,429958.87,264661.593
68,600202.SH,20230911,6.32,6.35,6.03,6.05,6.41,-0.36,-5.6162,557029.14,341665.665
69,600202.SH,20230908,5.8,6.41,5.76,6.41,5.83,0.58,9.9485,462007.98,292679.77
70,600202.SH,20230907,6.02,6.02,5.8,5.83,6.02,-0.19,-3.1561,115080.11,67636.474
71,600202.SH,20230906,5.97,6.09,5.89,6.02,6.03,-0.01,-0.1658,175246.0,104767.734
72,600202.SH,20230905,6.06,6.12,5.93,6.03,6.12,-0.09,-1.4706,225522.13,135612.814
73,600202.SH,20230904,5.68,6.25,5.66,6.12,5.68,0.44,7.7465,422884.61,256081.751
74,600202.SH,20230901,5.73,5.76,5.6,5.68,5.7,-0.02,-0.3509,70453.0,39868.966
75,600202.SH,20230831,5.77,5.77,5.65,5.7,5.79,-0.09,-1.5544,96816.61,55283.198
76,600202.SH,20230830,5.9,5.95,5.72,5.79,5.95,-0.16,-2.6891,159410.11,92507.234
77,600202.SH,20230829,5.89,5.98,5.81,5.95,5.99,-0.04,-0.6678,190528.02,112723.607
78,600202.SH,20230828,6.05,6.1,5.8,5.99,5.8,0.19,3.2759,335270.69,200086.74
79,600202.SH,20230825,5.8,5.96,5.75,5.8,5.8,0.0,0.0,215742.0,126391.987
80,600202.SH,20230824,5.83,5.85,5.59,5.8,5.83,-0.03,-0.5146,247590.08,142146.389
81,600202.SH,20230823,5.59,6.15,5.54,5.83,5.6,0.23,4.1071,338072.0,198730.321
82,600202.SH,20230822,5.66,5.71,5.5,5.6,5.62,-0.02,-0.3559,83012.0,46358.199
83,600202.SH,20230821,5.78,5.82,5.6,5.62,5.77,-0.15,-2.5997,71311.0,40603.157
84,600202.SH,20230818,5.68,5.89,5.63,5.77,5.7,0.07,1.2281,130362.0,75784.83
85,600202.SH,20230817,5.46,5.72,5.39,5.7,5.45,0.25,4.5872,95354.93,53432.918
86,600202.SH,20230816,5.51,5.53,5.45,5.45,5.51,-0.06,-1.0889,30895.1,16937.923
87,600202.SH,20230815,5.53,5.56,5.48,5.51,5.53,-0.02,-0.3617,37526.0,20671.509
88,600202.SH,20230814,5.48,5.53,5.41,5.53,5.5,0.03,0.5455,37442.0,20482.671
